date,value
06:00.0,1
06:00.0,4
06:00.0,4
07:00.0,1
07:00.0,1
07:00.0,1
08:00.0,1
08:00.0,1
09:00.0,1
09:00.0,1
09:00.0,1
10:00.0,1
10:00.0,1
10:00.0,1
11:00.0,1
11:00.0,1
11:00.0,1
12:00.0,1
12:00.0,1
13:00.0,1
13:00.0,1
13:00.0,1
14:00.0,1
14:00.0,1
15:00.0,1
15:00.0,1
15:00.0,1
16:00.0,1
16:00.0,1
17:00.0,1
17:00.0,1
17:00.0,1
18:00.0,1
18:00.0,4
18:00.0,3
19:00.0,2
19:00.0,1
19:00.0,1
20:00.0,1
20:00.0,1
20:00.0,1
21:00.0,1
21:00.0,1
22:00.0,1
22:00.0,1
22:00.0,1
23:00.0,1
23:00.0,1
24:00.0,1
24:00.0,1
25:00.0,3
25:00.0,1
25:00.0,3
26:00.0,1
26:00.0,1
26:00.0,1
27:00.0,1
27:00.0,1
28:00.0,1
28:00.0,1
28:00.0,1
29:00.0,3
29:00.0,5
29:00.0,1
30:00.0,2
30:00.0,3
30:00.0,3
31:00.0,2
31:00.0,1
31:00.0,1
32:00.0,1
32:00.0,1
32:00.0,2
33:00.0,1
33:00.0,1
34:00.0,1
34:00.0,1
34:00.0,2
35:00.0,1
35:00.0,2
35:00.0,2
36:00.0,4
36:00.0,2
37:00.0,1
37:00.0,2
38:00.0,1
38:00.0,1
38:00.0,1
39:00.0,1
39:00.0,1
39:00.0,1
40:00.0,1
40:00.0,1
40:00.0,1
41:00.0,1
41:00.0,1
42:00.0,1
42:00.0,1
42:00.0,1
43:00.0,1
43:00.0,1
44:00.0,1
44:00.0,1
44:00.0,1
45:00.0,1
45:00.0,1
45:00.0,1
46:00.0,1
46:00.0,1
46:00.0,1
47:00.0,2
47:00.0,1
47:00.0,3
48:00.0,1
48:00.0,1
48:00.0,1
49:00.0,1
49:00.0,1
49:00.0,1
50:00.0,2
50:00.0,2
50:00.0,3
51:00.0,1
51:00.0,1
52:00.0,2
52:00.0,1
53:00.0,1
53:00.0,1
54:00.0,1
54:00.0,1
54:00.0,1
55:00.0,1
55:00.0,1
55:00.0,1
56:00.0,1
56:00.0,1
57:00.0,1
57:00.0,1
58:00.0,1
58:00.0,1
58:00.0,1
59:00.0,1
59:00.0,1
59:00.0,1
00:00.0,2
00:00.0,1
00:00.0,2
01:00.0,1
01:00.0,1
02:00.0,1
02:00.0,1
02:00.0,1
03:00.0,1
03:00.0,1
03:00.0,1
04:00.0,1
04:00.0,1
04:00.0,1
05:00.0,2
05:00.0,1
05:00.0,2
06:00.0,1
06:00.0,3
06:00.0,2
07:00.0,1
07:00.0,1
07:00.0,1
08:00.0,1
08:00.0,1
08:00.0,1
09:00.0,1
09:00.0,1
09:00.0,1
10:00.0,2
10:00.0,1
10:00.0,1
11:00.0,1
11:00.0,1
11:00.0,1
12:00.0,1
12:00.0,1
12:00.0,1
13:00.0,1
13:00.0,1
13:00.0,2
14:00.0,1
14:00.0,1
15:00.0,1
15:00.0,1
15:00.0,1
16:00.0,3
16:00.0,1
16:00.0,1
17:00.0,2
17:00.0,1
18:00.0,1
18:00.0,1
19:00.0,1
19:00.0,1
19:00.0,1
20:00.0,1
20:00.0,1
20:00.0,1
21:00.0,1
21:00.0,1
22:00.0,1
22:00.0,2
23:00.0,1
23:00.0,1
23:00.0,1
24:00.0,1
24:00.0,1
24:00.0,1
25:00.0,1
25:00.0,1
25:00.0,1
26:00.0,1
26:00.0,1
26:00.0,1
27:00.0,1
27:00.0,1
27:00.0,1
28:00.0,2
28:00.0,1
28:00.0,1
